Longitude,Latitude,Elevation,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_10,Band_11,Band_12
104.271759033203,30.3017311096191,21.23,-5.595483919,-5.594843865,-6.462309313,-5.761019534,-5.510919025,-5.040390671,-5.445573453,-5.854699875,2.8230419526232,3.20138108567804,0.881820026129532
104.271759033203,30.3017311096191,21.93,-5.595483919,-5.594843865,-6.462309313,-5.761019534,-5.510919025,-5.040390671,-5.445573453,-5.854699875,2.8230419526232,3.20138108567804,0.881820026129532
104.271545410156,30.3018207550049,22.29,-5.593083156,-5.679588784,-5.825252138,-5.849145225,-5.654896957,-5.039984978,-5.444526972,-5.731557959,2.76500678553822,3.36508625126422,0.821674863311287
104.271446228027,30.3018207550049,23.64,-5.592342518,-5.724622189,-5.825252138,-5.59595452,-5.654741453,-5.018981533,-5.444526972,-5.769791987,2.73480427139365,3.36508625126422,0.812699606248196
104.27123260498,30.301908493042,25.55,-5.589942482,-5.724622189,-6.053533877,-5.754255618,-5.38098232,-4.977572538,-5.443716413,-6.15162809,2.73480427139365,3.29743318224949,0.829373673472886
104.271438598633,30.3019104003906,24.18,-5.591420628,-6.133567526,-5.773063402,-5.559408159,-5.654741453,-5.018981533,-5.444526972,-5.769791987,2.48192776266015,3.38211148592617,0.733839724973017
104.27123260498,30.301908493042,26.66,-5.589942482,-5.724622189,-6.053533877,-5.754255618,-5.38098232,-4.977572538,-5.443716413,-6.15162809,2.73480427139365,3.29743318224949,0.829373673472886
104.271438598633,30.3019104003906,25.48,-5.591420628,-6.133567526,-5.773063402,-5.559408159,-5.654741453,-5.018981533,-5.444526972,-5.769791987,2.48192776266015,3.38211148592617,0.733839724973017
104.27165222168,30.3019123077393,25.19,-5.592894272,-5.826478539,-6.200172359,-6.06100013,-5.824088843,-5.197253513,-5.445573453,-5.731948143,2.66816728722785,3.25949438231276,0.818583183240422
104.27165222168,30.302001953125,24.87,-5.591971998,-5.826478539,-6.05743158,-6.002288609,-5.973442088,-5.197253513,-5.507934588,-5.731459145,2.66816728722785,3.29637082719637,0.809425706966707
104.27165222168,30.302001953125,24.71,-5.591971998,-5.826478539,-6.05743158,-6.002288609,-5.973442088,-5.197253513,-5.507934588,-5.731459145,2.66816728722785,3.29637082719637,0.809425706966707
104.271339416504,30.3020896911621,26.74,-5.58884178,-5.469524658,-6.053533877,-5.523052369,-5.822433101,-5.016843102,-5.475008506,-5.989193791,2.911643517,3.29743318224949,0.883003037983832
104.271339416504,30.3020896911621,25.99,-5.58884178,-5.469524658,-6.053533877,-5.523052369,-5.822433101,-5.016843102,-5.475008506,-5.989193791,2.911643517,3.29743318224949,0.883003037983832
104.271438598633,30.3021812438965,24.87,-5.588660606,-5.508366551,-6.190081656,-5.669828262,-5.822248845,-5.059208267,-5.575245582,-5.492716521,2.88383533953658,3.26197434194885,0.884076647216558
104.271339416504,30.3021812438965,23.49,-5.587923297,-5.544866237,-6.119350418,-5.557422605,-5.866939167,-5.058795308,-5.539424118,-5.728435376,2.85798588486817,3.27989433768837,0.871365230284351
104.271751403809,30.3021831512451,25.97,-5.591790256,-5.725608604,-6.124563576,-5.633280941,-5.97151706,-5.149748253,-5.507934588,-5.692943948,2.73414773940897,3.2785411036861,0.833952557841943
104.271438598633,30.3022708892822,22.2,-5.420840231,-5.546170832,-6.192597535,-5.751319928,-5.865978096,-5.219688597,-5.539935686,-5.492332677,2.85706706720923,3.26135425538599,0.876037021274492
104.271751403809,30.3022727966309,24.27,-5.635569262,-5.676426984,-6.358783313,-5.712227292,-5.918972503,-5.148389408,-5.326669656,-5.621066044,2.76714408634117,3.22292377251668,0.858581921774836
104.271751403809,30.3022727966309,22.81,-5.635569262,-5.676426984,-6.358783313,-5.712227292,-5.918972503,-5.148389408,-5.326669656,-5.621066044,2.76714408634117,3.22292377251668,0.858581921774836
