Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_10
104.265975952148,30.3098201751709,22.0,-5.269863349,-5.614453964,-5.591180271,-5.549469474,-5.185801106,-5.349355151,-5.352046026,-5.551914431,2.80947508299029
104.256713867188,30.3103103637695,12.18,-5.131366677,-4.966092288,-5.433485923,-5.406345373,-4.962124751,-4.729187167,-4.677492378,-5.3636839,3.29763796770661
104.269287109375,30.3120059967041,21.35,-5.17538316,-5.291682541,-5.93010871,-5.418950038,-5.186965802,-5.098995519,-5.174228054,-5.807320028,3.04277120034726
104.260025024414,30.3132171630859,25.49,-5.423470476,-5.472478335,-5.800737366,-5.434017041,-5.127445529,-4.740868554,-4.972534841,-5.632544605,2.90951813085885
104.262504577637,30.3152160644531,27.06,-5.068760082,-5.052650919,-5.388774952,-5.258973034,-5.101461718,-4.636975719,-4.688221233,-5.2830834,3.22815007597837
104.270683288574,30.3062381744385,14.22,-5.587597133,-5.718963006,-6.124599324,-5.670387935,-5.69048704,-5.298642334,-5.688204658,-6.05847391,2.73857505598817
104.260429382324,30.3140316009521,19.07,-5.344093968,-5.150975962,-5.843795113,-5.459347891,-4.88033998,-4.785114198,-4.949363536,-5.33212781,3.15069639590901
104.26732635498,30.3102798461914,23.06,-5.308343614,-5.503582281,-5.778511553,-5.668264164,-5.265732329,-5.038108369,-5.386513771,-6.094571776,2.88724395089112
104.269668579102,30.3164291381836,18.55,-4.999875808,-5.058453627,-5.539002908,-5.071899607,-4.90475751,-4.521989181,-4.606652319,-5.208859528,3.22353459689803
104.269187927246,30.3111019134521,13.27,-5.461373965,-5.586654023,-5.946276046,-5.524887891,-5.35384828,-5.105533951,-5.333054355,-5.94680103,2.82873215164459
104.267127990723,30.3229122161865,19.8,-4.738876938,-4.805868357,-4.870551933,-4.80904711,-4.581538192,-4.156284794,-4.312602376,-4.95533398,3.42926512080613
104.269721984863,30.3094806671143,15.06,-5.448848238,-5.497062619,-5.8180899,-5.788543648,-5.236338632,-5.099006125,-5.377830322,-5.968211632,2.89189650293172
104.259300231934,30.3121299743652,20.73,-5.356618332,-5.684280025,-5.47010795,-5.188064103,-4.962005116,-4.627636584,-4.848777302,-5.364683903,2.76183965758326
104.257843017578,30.3120307922363,25.46,-5.095135337,-5.364121558,-5.699632671,-5.110757391,-5.327675958,-4.739880658,-4.84306281,-5.333918159,2.98862284312193
104.264938354492,30.3096351623535,12.88,-5.003870667,-5.169084638,-5.862127558,-5.411493051,-5.158814384,-5.140215645,-5.099193809,-4.981039492,3.13661015964262
104.259201049805,30.3118591308594,26.04,-5.079203724,-5.309182335,-5.506586712,-5.379265597,-4.962934625,-4.684901912,-4.957031091,-5.476725262,3.0295996134619
