Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4,stumpf,log-linear,random_forest_prediction,random_forest_depth
113.0660377,34.84527378,4.5525,1038.0,1181.0,1356.0,1041.0,2.9995537281544813,3.107405089930224,3.7541578571428538,3.7760416890569823
113.0600301,34.84022995,3.47,1000.0,1136.0,1350.0,1039.0,3.007148161177384,3.115976640399788,3.419293898809525,3.503959999999991
113.062274,34.84190575,4.5675,1045.0,1187.0,1365.0,1000.0,3.0100769938388368,3.0892965737500333,3.734681736111111,2.9371185445597474
113.0644259,34.84275486,3.565,1028.0,1149.0,1336.0,1061.0,3.10866113992887,3.1226320080367373,3.5332104166666625,3.2458719982956232
113.0582638,34.84041323,0.985,1020.0,1193.0,1348.0,1086.0,2.8289539305963416,3.1193540045577914,1.1868975595238098,1.1110849999999985
113.0606961,34.84124717,2.6025,1044.0,1194.0,1378.0,975.0,2.967995679331537,3.07616974134473,3.192742857142858,2.7266762499999926
113.0641585,34.84331597,3.715,1028.0,1132.0,1324.0,1063.0,3.200715194265314,3.128115035252225,3.382859669117648,3.529712023809513
113.071835,34.84924919,2.4275,1048.0,1185.0,1376.0,985.0,3.0382299118840166,3.0836037186989973,2.421753095238097,2.38485551353681
113.0584661,34.84011677,0.9875,1032.0,1164.0,1346.0,1059.0,3.052825365105264,3.118260008282705,1.5563198412698416,1.4827599999999972
113.0635619,34.84244033,3.9675,1017.0,1124.0,1350.0,1089.0,3.177615593072176,3.140429327497648,3.302523749999997,3.595389000000024
113.0717864,34.8505155,1.9875,1036.0,1163.0,1364.0,1029.0,3.0821451267745914,3.1076990612632995,2.072419792568543,1.9927278548318736
113.0683512,34.84783584,3.855,1049.0,1156.0,1355.0,1030.0,3.1968409209363244,3.1108395603083725,3.61933757936286,3.902142676430719
113.0673396,34.84858412,3.89,1073.0,1210.0,1399.0,983.0,3.055987357230862,3.079064811525244,3.7532915827888735,3.8832819196428447
113.0716817,34.84925491,2.34,1048.0,1185.0,1376.0,985.0,3.0382299118840166,3.0836037186989973,2.421753095238097,2.3743988468701436
113.0663506,34.84834854,2.1275,1094.0,1251.0,1417.0,982.0,2.971460359353287,3.0711133937757342,1.96133625,2.089095000000015
113.0643377,34.84407037,3.775,1043.0,1185.0,1362.0,983.0,3.0085662246535776,3.0816534736038355,4.882254295634919,5.137264883771962
113.0674086,34.84536742,1.885,1083.0,1185.0,1377.0,1018.0,3.241996035805485,3.1011568845583257,2.515100052909018,3.163864729628755
113.0645857,34.8443591,5.4325,1038.0,1160.0,1369.0,1007.0,3.110045233419896,3.099516218172805,4.185793621031747,3.8561550211014963
113.0673272,34.83808031,3.39,1017.0,1178.0,1398.0,1888.0,2.8883775537016305,3.285612160412497,3.413121498015873,3.298466666666656
113.068027,34.84489749,1.6925,1039.0,1149.0,1343.0,1052.0,3.1748143760752328,3.120417669625269,1.6281507110250857,1.6850993436850517
113.0612839,34.8410097,4.9725,1021.0,1169.0,1360.0,998.0,2.9598983842079747,3.091034567344186,4.764442277791653,5.17405137140636
113.0661202,34.84686314,3.755,1059.0,1222.0,1383.0,947.0,2.91408810828456,3.056200957004905,3.8200750000000023,3.783865167229824
113.0691454,34.85026629,3.9125,1040.0,1177.0,1356.0,1082.0,3.0323723918263568,3.124301547366489,3.677632738095239,3.9757852019935185
113.0621626,34.84144705,5.52,1023.0,1124.0,1354.0,1047.0,3.214229857639552,3.1253952933354454,5.558590059523808,5.817386750000023
113.0628814,34.83934129,2.1325,812.0,888.0,802.0,688.0,3.234534410082276,2.702402382621343,2.223380902847153,2.1812224999999894
113.0598972,34.8406967,1.9175,1039.0,1190.0,1372.0,993.0,2.9588503472604657,3.085100892644652,2.0890677288438693,2.049038749999998
113.0628993,34.839942,1.335,901.0,1015.0,1008.0,723.0,3.053665685972419,2.840980760190769,1.333672948232323,1.351677499999992
113.0647555,34.84392463,4.095,1043.0,1155.0,1348.0,1053.0,3.166543566604034,3.1195751637840905,3.958784027777779,3.990186992909554
113.0701972,34.83815966,1.66,1113.0,1318.0,1504.0,1420.0,2.759005106581043,3.192582586419816,2.060841488095238,2.196175
113.0664686,34.84644523,4.035,1037.0,1163.0,1354.0,1040.0,3.088136788876554,3.111855674512773,4.007981894841269,4.0240627469538435
113.0694093,34.84565354,1.563333333,1034.0,1158.0,1355.0,1050.0,3.096701117576572,3.1170677984867563,3.0577693749999986,1.8110710387904556
113.0631956,34.84238842,4.185,1011.0,1140.0,1331.0,1062.0,3.0535058154616053,3.123978538778029,4.24197505952381,4.170321520562775
113.0599869,34.84035176,3.2175,1039.0,1161.0,1361.0,1021.0,3.110713342516505,3.105040497375396,3.220357083333332,3.109749166666659
113.063828,34.8449657,3.8825,1052.0,1173.0,1388.0,1001.0,3.124536550971456,3.0950847564142467,4.012283749999994,3.5788547010722356
113.070616,34.8476185,1.6525,1044.0,1161.0,1381.0,1038.0,3.1405312813375303,3.113351889483968,3.547028511900594,2.1391821395534305
113.0646661,34.84466321,4.5075,1060.0,1176.0,1380.0,946.0,3.1558131625016443,3.06746805460852,4.270956984126984,4.232961253760151
113.0621422,34.84119219,5.6025,1028.0,1136.0,1343.0,1056.0,3.178915216939089,3.125021727678801,6.232300655663777,6.255371116355848
113.0641703,34.84508158,4.21,1049.0,1185.0,1366.0,1007.0,3.044145663575065,3.0933292028719444,3.838249940476195,3.8557331296756474
113.0668726,34.84807288,3.9775,1074.0,1195.0,1395.0,1015.0,3.13847900168534,3.0973115856524385,3.4824900000000008,3.6259448103055734
113.0600644,34.84083119,2.0475,1061.0,1199.0,1365.0,993.0,3.0424354370826165,3.084230764935837,1.8150144229300116,1.9563341352813852
113.0633777,34.84142736,2.1525,1012.0,1145.0,1340.0,1078.0,3.032661475030608,3.128907255110433,2.5946822123015902,2.083434285714296
113.0626315,34.83974485,1.9475,840.0,898.0,828.0,693.0,3.3784108682244067,2.7711899634631507,2.031114345238095,2.001667333333327
113.0623761,34.8406187,1.3825,985.0,1104.0,1233.0,950.0,3.089522009625071,3.0782110562099056,1.3953885715058931,1.327457500004662
113.0589826,34.82912451,3.335,805.0,863.0,801.0,866.0,3.359512556454362,3.145197583017361,3.366113253968253,3.321169543572465
113.0630067,34.83924986,2.77,806.0,880.0,798.0,711.0,3.2445228937909008,2.817334354669029,2.658855029761905,2.793220000000001
113.0631645,34.83972695,1.5275,917.0,998.0,975.0,714.0,3.2692265530742617,2.822476170437529,1.669850128968254,1.5530100000000033
113.0621145,34.83892244,2.8625,835.0,873.0,807.0,724.0,3.518552146771356,2.942491310408538,3.111840897678709,2.947262355109803
113.0706337,34.84914897,3.0975,1043.0,1181.0,1376.0,990.0,3.02936662384542,3.086620720879847,3.016721904761906,2.8545738400748313
113.0727632,34.8489638,1.72,1033.0,1182.0,1371.0,1031.0,2.964392652398246,3.103271130074521,0.943450068473194,1.138465000000001
113.0584072,34.82912274,3.2425,806.0,853.0,798.0,756.0,3.4409354868406723,4.244505296203917,3.281806924603176,3.2613545465888105
113.0617619,34.84041284,3.9325,1018.0,1150.0,1291.0,1039.0,3.0425413227885656,3.110688809279657,5.759995701971638,5.315535000000025
113.0656087,34.84765638,1.575,1086.0,1196.0,1419.0,1034.0,3.2022075377567347,3.10685957474541,1.7732583333333336,1.7887679948646387
113.066579,34.84555323,3.825,1038.0,1165.0,1366.0,1051.0,3.083533453930883,3.116252052366147,3.043381180555554,3.422990725716967
113.0629442,34.84040103,1.2275,1018.0,1141.0,1272.0,924.0,3.0910025704725683,3.0568145505818176,2.133299365079364,1.4759050000000018
113.0621712,34.83931276,2.96,829.0,898.0,833.0,804.0,3.295122315182695,3.026429009610318,2.9437192739899003,2.8994614926733338
113.0683928,34.84633924,2.2775,1044.0,1170.0,1371.0,1007.0,3.092930661515396,3.09724795111508,2.50259660714286,2.4850572207239225
113.0627565,34.84074647,1.1475,1012.0,1125.0,1320.0,1053.0,3.141441908774979,3.124885329894888,1.0895126747557995,1.1597918750000022
113.064186,34.84534577,3.675,1036.0,1178.0,1385.0,1032.0,3.0032340283808026,3.105611814914429,3.2058389583333358,3.5706540653061176
113.0600228,34.84103501,1.45,1044.0,1148.0,1346.0,1039.0,3.210030496549564,3.1161035072539702,1.325140119047619,1.5230866666666583
113.0645064,34.84363974,4.0,1011.0,1132.0,1346.0,1077.0,3.0969705952390143,3.13276543888327,4.00584471861472,4.009011611111118
113.0628752,34.84054526,1.01,1012.0,1128.0,1304.0,985.0,3.124985832517112,3.0940122838745907,1.155786041666666,1.0502900000000006
113.0611537,34.84176674,2.735,1049.0,1185.0,1367.0,980.0,3.044145663575065,3.080921250010296,3.165469027777779,3.119831866666647
113.0639841,34.84010663,0.5525,1040.0,1178.0,1366.0,1022.0,3.0271457920991907,3.100979233695141,1.4602120634820628,0.8587568719806715
113.0685495,34.84759852,3.4175,1049.0,1160.0,1362.0,1034.0,3.1755231839082683,3.111620962009116,3.12248229166333,3.2649038082280954
113.0603356,34.84075205,3.33,1050.0,1174.0,1372.0,983.0,3.107475119388212,3.085647830018011,3.48950083333333,3.0409099999993505
113.0654346,34.84336144,2.125,1033.0,1178.0,1361.0,1028.0,2.9852395401602223,3.1026912406327574,2.177591111111113,2.2478521811193737
113.0604564,34.84057748,4.275,1033.0,1161.0,1354.0,1016.0,3.0747418246316016,3.102088062088448,4.435185505952379,4.287324517857136
113.060445,34.84155036,0.4875,1027.0,1164.0,1346.0,1040.0,3.0226650140128584,3.110352640725713,0.5261869196081695,0.5455587499999978
113.0590215,34.83944234,3.3775,1010.0,1148.0,1335.0,1083.0,3.0042339990775844,3.1294006409650668,3.196068087606841,3.9388449999999793
113.0655875,34.8439182,2.375,1039.0,1165.0,1360.0,1018.0,3.089512897072595,3.102568983644142,2.04489162698079,2.4130321970589095
113.0647955,34.84473168,3.9525,1038.0,1181.0,1362.0,993.0,2.9995537281544813,3.0870026650463007,3.788594365079358,4.0038004757935015
113.0630797,34.83865073,2.406666667,895.0,985.0,903.0,1905.0,3.198606599645629,3.30987741287152,3.339076424963925,3.1399795751633963
113.0702151,34.84790274,2.35,1071.0,1211.0,1395.0,944.0,3.039355661736608,3.0586734187660527,2.436360357142858,2.36203147727273
113.0693193,34.85005185,3.635,1051.0,1177.0,1356.0,1077.0,3.097662212713715,3.1233816149688414,3.7255203571428575,3.659007036296784
113.0667743,34.84873852,2.5625,1084.0,1256.0,1425.0,965.0,2.890291782221894,3.0612637378502834,2.527691448412699,2.5151704166666704
113.0584403,34.84000533,1.865,1032.0,1164.0,1346.0,1059.0,3.052825365105264,3.118260008282705,1.5563198412698416,1.4260949999999952
113.0618022,34.8423065,3.0975,1061.0,1194.0,1375.0,964.0,3.068133346235697,3.0719250483087004,3.299110287698414,3.155735560690947
113.0623912,34.84303813,3.95,1039.0,1177.0,1367.0,978.0,3.0264027487891383,3.081303067338462,3.7039336805555534,3.7918565859145756
113.0645977,34.8443738,5.2875,1038.0,1160.0,1369.0,1007.0,3.110045233419896,3.099516218172805,4.185793621031747,3.861620021101496
113.058366,34.84014448,1.73,1032.0,1164.0,1353.0,1055.0,3.052825365105264,3.117024077320498,1.145948323412698,0.958504999999995
113.0629329,34.84044862,1.17,1018.0,1141.0,1272.0,924.0,3.0910025704725683,3.0568145505818176,2.133299365079364,1.5264900000000092
113.0600241,34.84078217,2.0775,1039.0,1190.0,1372.0,993.0,2.9588503472604657,3.085100892644652,2.0890677288438693,1.9812999275362397
113.058622,34.83974868,1.2275,1049.0,1169.0,1353.0,1036.0,3.127861101778592,3.1094783805380115,1.1288894047619054,1.2392224999999941
113.0636755,34.84413127,4.3175,1035.0,1203.0,1377.0,935.0,2.86822668284438,3.052103026344419,3.4048658432539685,4.094853333333356
113.0708127,34.85084624,2.445,1047.0,1167.0,1353.0,1080.0,3.1265675456692748,3.126814886227373,3.1791402462104537,2.760343333334012
113.0720054,34.85030608,1.625,1053.0,1188.0,1371.0,1029.0,3.0521943210305977,3.1024905559521145,1.5264499404761906,1.7143412499996844
113.0607624,34.84139528,3.25,1049.0,1198.0,1378.0,980.0,2.9770637401457947,3.077963577674346,2.756574958097457,2.705523949938949
113.0619794,34.83898255,2.8275,829.0,898.0,829.0,771.0,3.295122315182695,2.981948769923334,2.7599898511904764,2.7756732142857103
113.07172,34.85055533,2.1175,1025.0,1167.0,1357.0,1029.0,2.994712374654682,3.105297812474029,2.1270744530122654,2.0886897123015937
113.0584718,34.84000473,1.09,1032.0,1164.0,1346.0,1059.0,3.052825365105264,3.118260008282705,1.5563198412698416,1.2291599999999945
113.0675983,34.84736266,3.3275,1052.0,1162.0,1355.0,1019.0,3.182631962200148,3.104707258999683,3.304628124098125,3.2759585876633626
113.0707116,34.83797208,1.1975,1013.0,1175.0,1331.0,1299.0,2.879591320807819,3.184498235274005,1.516358749999999,1.7200266666620092
113.0658749,34.84455924,3.7375,1022.0,1148.0,1368.0,1050.0,3.077648596499486,3.1195325287270714,4.896753055553891,3.725944226893192
113.064217,34.83987043,0.6625,1040.0,1220.0,1362.0,1092.0,2.812053203749741,3.117043735767008,2.9245629581500685,3.0356237499993344
113.0688965,34.84933004,4.0875,1063.0,1170.0,1359.0,1049.0,3.2048937808380344,3.115762644327594,3.998967976190476,3.858435738192125
113.0684174,34.84632822,2.21,1050.0,1178.0,1382.0,993.0,3.086525144810878,3.089650146248974,2.1603159426501843,2.224380689512752
113.0727975,34.84861398,0.725,1044.0,1165.0,1360.0,1026.0,3.119324049973443,3.1063748633570927,0.7833291666666667,0.7433933333333386
113.0600025,34.84031111,3.3175,1039.0,1161.0,1361.0,1021.0,3.110713342516505,3.105040497375396,3.220357083333332,3.1139841666666594
113.061112,34.84176536,2.615,1049.0,1185.0,1367.0,980.0,3.044145663575065,3.080921250010296,3.165469027777779,3.068631866666647
113.0656298,34.84784359,1.4375,1141.0,1301.0,1530.0,1113.0,2.9913135835654145,3.119896988456464,1.576472261904762,1.512051363636368
113.0583993,34.84036538,0.6575,1037.0,1163.0,1359.0,1053.0,3.088136788876554,3.1172219192678465,0.6451984729451837,0.6833250000000028
113.06315,34.83918175,2.93,823.0,892.0,816.0,781.0,3.291354135290007,2.9932738845227687,3.038855535714288,3.0840586428564665
113.0613177,34.84237412,1.93,1059.0,1179.0,1369.0,1025.0,3.1342571443620244,3.1036312570094333,1.8426526984126976,1.8794346679252045
113.0599182,34.83870421,6.2775,1083.0,1228.0,1498.0,1578.0,3.022739679078839,3.238051675138516,7.788955476190469,6.73172500000006
113.0605946,34.84044132,5.5575,1022.0,1153.0,1354.0,1035.0,3.05085124903853,3.111430332401559,5.399861805555556,5.572183586219351
113.0629005,34.83931074,2.26,812.0,888.0,802.0,688.0,3.234534410082276,2.702402382621343,2.223380902847153,2.2602269999999933
113.0725937,34.84880423,1.456666667,1055.0,1178.0,1371.0,1021.0,3.1160030862643424,3.1019859779147074,1.4778808379113173,1.8353613888877593
113.0690643,34.84915103,3.7475,1052.0,1179.0,1370.0,1049.0,3.0931075589414405,3.1128787033688265,3.9105788609307335,3.4637141953629116
113.0635527,34.83941528,3.82,884.0,980.0,968.0,833.0,3.1526873093983028,3.0200915983727845,3.39908329455267,3.8033597058823645
113.0622377,34.84040135,1.6125,951.0,1041.0,1103.0,815.0,3.2345764257133425,2.993429930440321,1.6868622480158744,1.6708264999880085
113.0645843,34.84278494,2.71,1022.0,1132.0,1349.0,1058.0,3.164296668029479,3.1267872335487983,2.870613035714284,2.609369154886797
113.0649007,34.84290986,2.505,1028.0,1153.0,1349.0,1053.0,3.0872254505810304,3.118928723727646,3.2667743055533327,2.7852216054110777
