Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4,predicted_depth
113.0628486,34.84087343,1.02,1000,1141,1325,1089,1.2284000000000008
113.0625707,34.84061985,1.186666667,985,1112,1240,955,1.259666666666664
113.0720525,34.85015979,1.513333333,1047,1159,1371,1019,1.5333361111866608
113.0629194,34.84105575,1.756666667,1017,1136,1322,1103,1.8851833333333297
113.0716616,34.85061223,2.16,1025,1167,1357,1029,2.1055499999999885
113.0686763,34.84619433,2.116666667,1066,1182,1371,1002,2.186705555506668
113.0620108,34.84314429,0.275,1055,1207,1389,955,0.35554166666666537
113.0601464,34.84133773,0.425,1010,1152,1338,1045,0.600625
113.060445,34.84155036,0.4875,1027,1164,1346,1040,0.5181916666666649
113.0604183,34.84157605,0.495,1027,1164,1346,1040,0.5308166666666656
113.0605089,34.84148196,0.5225,1027,1164,1346,1040,2.4686833333366662
113.0604766,34.84148556,0.5475,1027,1164,1346,1040,0.8710166666666646
113.0604813,34.84150446,0.545,1027,1164,1346,1040,1.5195805555566648
113.0604784,34.84148324,0.545,1027,1164,1346,1040,0.9369166666666645
113.0639841,34.84010663,0.5525,1040,1178,1366,1022,0.5639249999999998
113.0640612,34.84003039,0.5875,1057,1229,1387,1013,0.7349499999999981
113.0605361,34.84146349,0.5775,1066,1198,1375,998,1.4939583335199977
113.0641782,34.83990109,0.595,1046,1195,1369,1013,0.6733833333333318
113.0641173,34.83996663,0.5925,1057,1229,1387,1013,0.7845833333333313
113.0584114,34.8404476,0.6375,1037,1163,1359,1053,0.6554500000000022
113.0584116,34.84044683,0.635,1037,1163,1359,1053,0.6554500000000022
113.0637934,34.84025368,0.6325,1034,1157,1348,1045,2.199200000000001
113.058413,34.84044006,0.635,1037,1163,1359,1053,0.6539000000000011
113.0584099,34.8404433,0.6375,1037,1163,1359,1053,0.6555333333333354
113.0640085,34.84008659,0.64,1040,1178,1366,1022,0.6243666666666655
113.0584096,34.84044367,0.6425,1037,1163,1359,1053,0.6555333333333354
113.0640031,34.84009113,0.6375,1040,1178,1366,1022,0.6243666666666655
113.0584125,34.840452,0.645,1037,1163,1359,1053,0.6499833333333317
113.0608892,34.84200731,0.665,1060,1190,1375,1003,1.1516916666433354
113.0609101,34.842016,0.665,1060,1190,1375,1003,1.2039305555333355
113.0584036,34.8403893,0.6525,1037,1163,1359,1053,0.6567750000000016
113.0584114,34.84041085,0.655,1037,1163,1359,1053,0.6519333333333351
113.064217,34.83987043,0.6625,1040,1220,1362,1092,2.3410861111100005
113.0583993,34.84036538,0.6575,1037,1163,1359,1053,0.687058333333332
113.058407,34.84040175,0.6575,1037,1163,1359,1053,0.6519333333333351
113.0638609,34.84020327,0.685,1034,1157,1348,1045,2.1869333333333345
113.0601254,34.84125388,0.655,1021,1169,1349,1022,0.7958333333333317
