Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4
113.0669538,34.84461511,2.2425,1044,1203,1375,1004
113.062664,34.84429206,1.2475,1057,1207,1402,1001
113.064247,34.84526806,3.9875,1041,1199,1374,1014
113.0727516,34.84860369,0.7225,1038,1165,1364,1012
113.0586645,34.83972686,1.305,1049,1169,1353,1036
113.0651823,34.84733567,1.3175,1108,1280,1462,1071
113.0617464,34.84171448,3.9175,1034,1183,1351,991
113.0627526,34.84060843,0.9975,1007,1125,1291,969
113.070953,34.85087841,2.08,1040,1170,1358,1072
113.0613092,34.8422667,0.9175,1048,1192,1362,1030
113.0623738,34.84139821,4.745,1023,1141,1333,1056
113.0646772,34.84275377,2.575,1022,1132,1349,1058
113.0672953,34.84734068,3.255,1052,1141,1362,1052
113.063224,34.8447402,1.425,1074,1190,1395,991
113.0627387,34.84074398,1.105,1012,1125,1320,1053
113.0660515,34.84430937,3.065,1039,1165,1371,1036
113.0732457,34.83760617,2.4,1079,1250,1428,1580
113.0664657,34.84404142,1.325,1039,1178,1357,1022
113.0730418,34.84880794,1.125,1055,1165,1371,1035
113.0598428,34.84056431,2.255,1044,1190,1379,988
113.0700076,34.84826277,1.88,1060,1207,1392,968
113.0680996,34.83839873,2.6075,1017,1174,1326,1383
113.0637965,34.83931325,4.3025,956,1068,1116,1061
113.063467,34.83904081,1.303333333,890,1022,950,1957
113.0623493,34.84373261,1.4075,1048,1230,1384,935
113.0683033,34.8498125,3.6175,1060,1182,1382,982
113.06044,34.84150794,0.53,1027,1164,1346,1040
113.0658647,34.83853906,1.58,1074,1192,1385,1290
113.0628919,34.84088316,1.815,1000,1141,1325,1089
113.0614243,34.84214548,2.7475,1042,1171,1366,992
113.0671788,34.84861956,3.715,1073,1218,1399,979
113.0649104,34.8392049,2.4525,1018,1146,1335,1145
113.0601272,34.84117011,1.245,1021,1169,1349,1022
113.0578457,34.82919568,3.7425,806,903,859,910
113.0587097,34.83814976,8.39,1033,1152,1350,1137
113.0667445,34.84875703,2.41,1084,1256,1425,965
113.0598146,34.83947283,6.1325,1039,1157,1343,1053
113.0635583,34.84042058,1.225,1023,1153,1337,1050
113.0725065,34.83802051,1.725,990,1145,1327,1021
113.0628629,34.84090742,1.1,1000,1141,1325,1089
113.0600374,34.84082628,2.0,1061,1199,1365,993
113.0606621,34.84144433,2.61,1066,1198,1375,998
113.0617771,34.83781907,3.42,802,865,794,736
113.0678294,34.84695591,2.9525,1047,1166,1366,1033
113.0627355,34.84153488,4.5375,1023,1128,1333,1084
113.064622,34.84471522,4.3775,1060,1176,1380,946
113.0641189,34.84218585,1.895,1012,1157,1336,1080
113.0622332,34.84135036,5.0125,1023,1141,1333,1056
113.062997,34.83932105,2.33,812,888,802,688
113.0636313,34.83934447,3.3575,884,980,968,833
113.068021,34.84489639,1.6825,1039,1149,1343,1052
113.0624996,34.84069799,1.395,1012,1125,1294,1057
113.0645561,34.84370892,4.91,1017,1140,1349,1072
113.0613773,34.84058912,7.3625,1029,1141,1313,1025
113.0689309,34.84609081,1.415,1039,1149,1342,1063
113.0721991,34.84953907,2.39,1049,1194,1388,977
113.0613915,34.84223126,1.26,1042,1171,1366,992
113.0603396,34.84124478,1.75,1044,1194,1371,984
113.0637492,34.83936072,2.27,956,1068,1116,1061
113.063137,34.84464359,1.3925,1069,1203,1402,1019
113.0715683,34.848395,1.345,1044,1211,1370,954
113.0644987,34.84363292,3.97,1011,1132,1346,1077
113.0627857,34.84037129,1.2,1012,1116,1219,880
113.0748972,34.8383425,0.9625,1022,1154,1358,1110
113.0640978,34.84516475,3.9525,1041,1187,1370,1032
113.0672938,34.84650144,3.525,1037,1176,1368,1036
113.0599206,34.83870169,6.135,1083,1228,1498,1578
113.0624216,34.83984114,1.77,845,915,854,712
113.0671473,34.84669751,4.1,1048,1172,1354,1050
113.0637525,34.83935963,2.3725,956,1068,1116,1061
113.0633601,34.84196135,4.05,1039,1145,1347,1071
113.0656003,34.84551267,3.9925,1041,1157,1370,1004
113.0727177,34.84861268,0.74,1038,1165,1364,1012
113.0630796,34.84252436,5.8725,1022,1161,1349,1039
113.0608988,34.84118618,3.7375,1033,1169,1367,998
113.0669381,34.84866072,3.2525,1073,1218,1399,979
113.062897,34.8405331,1.0375,1012,1128,1304,985
113.0587803,34.83924569,3.3175,999,1118,1324,1101
113.0646131,34.84286112,2.2425,1022,1153,1349,1030
113.0621655,34.83889499,3.16,835,873,807,724
113.0658731,34.84668142,3.9325,1072,1180,1377,976
113.061834,34.83943326,2.5475,846,932,905,1060
113.0630812,34.84251749,5.8375,1022,1161,1349,1039
113.0646865,34.84372543,4.3175,1017,1140,1349,1072
113.068646,34.84622838,2.445,1066,1182,1371,1002
113.0605546,34.84145114,1.066666667,1066,1198,1375,998
113.0613143,34.84238915,1.79,1059,1179,1369,1025
113.071805,34.85050358,1.955,1036,1163,1364,1029
113.0605008,34.84052148,4.5925,1033,1161,1354,1016
113.0717699,34.83760872,1.685,1152,1351,1543,2098
113.0679002,34.84496073,1.61,1039,1149,1343,1052
113.0639619,34.8392696,4.2225,1073,1257,1297,1891
113.0627548,34.84066653,1.145,1012,1125,1320,1053
113.0651843,34.84609744,4.32,1061,1171,1388,958
113.0625495,34.84161286,4.945,1017,1136,1343,1084
