Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4
113.0601273,34.84124981,0.74,1021,1169,1349,1022
113.0605546,34.84145114,1.066666667,1066,1198,1375,998
113.0609067,34.84181671,0.883333333,1060,1194,1378,984
113.0664792,34.84398283,1.06,1039,1169,1357,1032
113.0624234,34.84062774,1.326666667,985,1104,1233,950
113.0720531,34.85011646,1.376666667,1047,1159,1371,1019
113.069338,34.84570911,2.72,1040,1141,1344,1082
113.06378,34.83934587,2.97,956,1068,1116,1061
113.0620065,34.84314043,0.26,1055,1207,1389,955
113.0620114,34.84314686,0.2725,1055,1207,1389,955
113.0620317,34.84314524,0.27,1055,1207,1389,955
113.060142,34.84133532,0.425,1010,1152,1338,1045
113.0603412,34.84156435,0.475,1027,1139,1328,1096
113.0603793,34.84153971,0.4775,1027,1164,1346,1040
113.0640829,34.84000591,0.51,1057,1229,1387,1013
113.0604321,34.84155826,0.505,1027,1164,1346,1040
113.0639761,34.84011329,0.52,1040,1178,1366,1022
113.0604184,34.84157757,0.5125,1027,1164,1346,1040
113.06044,34.84150794,0.53,1027,1164,1346,1040
113.0601326,34.84129319,0.53,1021,1169,1349,1022
113.0604622,34.84153871,0.5375,1027,1164,1346,1040
113.0639841,34.84010663,0.5525,1040,1178,1366,1022
113.0604757,34.84152285,0.5675,1027,1164,1346,1040
113.0640647,34.84002642,0.5725,1057,1229,1387,1013
113.0641687,34.83991075,0.575,1046,1195,1369,1013
113.0641308,34.83995052,0.575,1046,1195,1369,1013
113.063988,34.84010343,0.5975,1040,1178,1366,1022
113.0641782,34.83990109,0.595,1046,1195,1369,1013
113.0620645,34.84313862,0.605,1044,1198,1360,997
113.0584133,34.84043882,0.63,1037,1163,1359,1053
113.0584114,34.8404476,0.6375,1037,1163,1359,1053
113.0584122,34.8404507,0.6325,1037,1163,1359,1053
113.058413,34.84044006,0.635,1037,1163,1359,1053
113.0584117,34.84044623,0.6425,1037,1163,1359,1053
113.0584113,34.8404458,0.6425,1037,1163,1359,1053
113.0601297,34.84126443,0.6325,1021,1169,1349,1022
113.0638951,34.84017739,0.6725,1057,1170,1369,1022
113.0584007,34.84030315,0.6675,1037,1163,1359,1053
113.0608654,34.84197464,0.6825,1060,1190,1375,1003
113.0608645,34.84196151,0.6825,1060,1194,1378,984
113.0620875,34.84313556,0.6625,1044,1198,1360,997
113.0727232,34.84860703,0.72,1038,1165,1364,1012
113.0727812,34.84860919,0.7225,1044,1165,1360,1026
113.0728059,34.84861627,0.7175,1044,1165,1360,1026
113.0727127,34.84861902,0.73,1038,1165,1364,1012
113.0727949,34.84861306,0.725,1044,1165,1360,1026
113.0727975,34.84861398,0.725,1044,1165,1360,1026
113.0727861,34.84861026,0.73,1044,1165,1360,1026
113.0601275,34.84125477,0.695,1021,1169,1349,1022
113.0727177,34.84861268,0.74,1038,1165,1364,1012
113.072778,34.84860853,0.7375,1044,1165,1360,1026
113.0601992,34.84134271,0.7025,1010,1152,1338,1045
113.060218,34.84134487,0.7725,1010,1152,1338,1045
113.0597176,34.84095195,0.765,1050,1174,1368,993
113.0597147,34.84094653,0.7775,1050,1174,1368,993
113.0597145,34.84094475,0.785,1050,1174,1368,993
113.0597108,34.84094265,0.7975,1050,1174,1368,993
113.0597217,34.84095178,0.795,1050,1174,1368,993
113.0584312,34.8401995,0.79,1032,1164,1353,1055
113.0627321,34.84397407,0.805,1048,1155,1369,1010
113.059694,34.84092865,0.8,1050,1174,1368,993
113.0597152,34.84094466,0.7975,1050,1174,1368,993
113.0596915,34.84092679,0.8,1050,1174,1368,993
113.0597125,34.84094342,0.7975,1050,1174,1368,993
113.0597151,34.84093806,0.81,1050,1174,1368,993
113.0597116,34.84092679,0.82,1050,1174,1368,993
113.0602557,34.84133602,0.8225,1010,1152,1338,1045
113.0628459,34.84064653,0.8425,1012,1125,1320,1053
