Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4
113.0628486,34.84087343,1.02,1000,1141,1325,1089
113.0625707,34.84061985,1.186666667,985,1112,1240,955
113.0720525,34.85015979,1.513333333,1047,1159,1371,1019
113.0629194,34.84105575,1.756666667,1017,1136,1322,1103
113.0716616,34.85061223,2.16,1025,1167,1357,1029
113.0686763,34.84619433,2.116666667,1066,1182,1371,1002
113.0620108,34.84314429,0.275,1055,1207,1389,955
113.0601464,34.84133773,0.425,1010,1152,1338,1045
113.060445,34.84155036,0.4875,1027,1164,1346,1040
113.0604183,34.84157605,0.495,1027,1164,1346,1040
113.0605089,34.84148196,0.5225,1027,1164,1346,1040
113.0604766,34.84148556,0.5475,1027,1164,1346,1040
113.0604813,34.84150446,0.545,1027,1164,1346,1040
113.0604784,34.84148324,0.545,1027,1164,1346,1040
113.0639841,34.84010663,0.5525,1040,1178,1366,1022
113.0640612,34.84003039,0.5875,1057,1229,1387,1013
113.0605361,34.84146349,0.5775,1066,1198,1375,998
113.0641782,34.83990109,0.595,1046,1195,1369,1013
113.0641173,34.83996663,0.5925,1057,1229,1387,1013
113.0584114,34.8404476,0.6375,1037,1163,1359,1053
113.0584116,34.84044683,0.635,1037,1163,1359,1053
113.0637934,34.84025368,0.6325,1034,1157,1348,1045
113.058413,34.84044006,0.635,1037,1163,1359,1053
113.0584099,34.8404433,0.6375,1037,1163,1359,1053
113.0640085,34.84008659,0.64,1040,1178,1366,1022
113.0584096,34.84044367,0.6425,1037,1163,1359,1053
113.0640031,34.84009113,0.6375,1040,1178,1366,1022
113.0584125,34.840452,0.645,1037,1163,1359,1053
113.0608892,34.84200731,0.665,1060,1190,1375,1003
113.0609101,34.842016,0.665,1060,1190,1375,1003
113.0584036,34.8403893,0.6525,1037,1163,1359,1053
113.0584114,34.84041085,0.655,1037,1163,1359,1053
113.064217,34.83987043,0.6625,1040,1220,1362,1092
113.0583993,34.84036538,0.6575,1037,1163,1359,1053
113.058407,34.84040175,0.6575,1037,1163,1359,1053
113.0638609,34.84020327,0.685,1034,1157,1348,1045
113.0601254,34.84125388,0.655,1021,1169,1349,1022
113.060864,34.84194558,0.705,1060,1194,1378,984
113.0727664,34.8486061,0.72,1044,1165,1360,1026
113.0584173,34.84025128,0.695,1032,1164,1353,1055
113.0638013,34.84024788,0.6825,1034,1157,1348,1045
113.0727812,34.84860919,0.7225,1044,1165,1360,1026
113.0727516,34.84860369,0.7225,1038,1165,1364,1012
113.0638167,34.84023642,0.735,1034,1157,1348,1045
113.0584202,34.84024361,0.7075,1032,1164,1353,1055
113.072771,34.84860689,0.725,1044,1165,1360,1026
113.0727593,34.84860497,0.7275,1044,1165,1360,1026
113.0602013,34.84134283,0.71,1010,1152,1338,1045
113.0602079,34.84134379,0.755,1010,1152,1338,1045
113.0621057,34.84313254,0.735,1044,1198,1360,997
113.0608889,34.84185184,0.75,1060,1194,1378,984
113.0584237,34.84022922,0.735,1032,1164,1353,1055
113.0605453,34.84169131,0.7575,1049,1169,1356,1026
113.0597172,34.84095098,0.7775,1050,1174,1368,993
113.0597182,34.84095242,0.78,1050,1174,1368,993
113.0602262,34.8413448,0.7875,1010,1152,1338,1045
113.0597054,34.84093922,0.785,1050,1174,1368,993
113.0582976,34.84046001,0.7875,1020,1193,1348,1086
113.062726,34.84401234,0.8425,1054,1176,1380,991
113.0627277,34.84400189,0.8425,1054,1176,1380,991
113.0596983,34.84091432,0.83,1050,1174,1368,993
113.0597153,34.84093532,0.815,1050,1174,1368,993
113.0597101,34.84092483,0.8225,1050,1174,1368,993
113.0597009,34.84091643,0.8375,1050,1174,1368,993
113.0729575,34.8489064,0.8575,1033,1182,1371,1031
113.0748816,34.8383771,0.81,1022,1154,1358,1110
113.0729889,34.84888672,0.8675,1033,1182,1371,1031
113.0729468,34.8489113,0.8675,1033,1182,1371,1031
113.0613092,34.8422667,0.9175,1048,1192,1362,1030
113.0596548,34.84085387,0.88,1039,1161,1346,1030
113.0628752,34.84054526,1.01,1012,1128,1304,985
113.0584395,34.84016482,0.88,1032,1164,1353,1055
113.0591938,34.84046152,0.9075,1043,1159,1370,993
113.0602694,34.84132501,0.93,1010,1152,1338,1045
113.0584417,34.84015965,0.8975,1032,1164,1353,1055
113.0748827,34.83837424,0.8875,1022,1154,1358,1110
113.0591881,34.84047926,0.91,1043,1180,1370,984
113.0628311,34.84057986,0.89,1007,1125,1291,969
113.0582978,34.84026945,0.9475,1021,1143,1346,1087
113.0634373,34.83900122,0.945,890,1022,950,1957
113.063304,34.84067969,0.9675,1012,1141,1336,1073
113.0627177,34.84407064,0.9875,1054,1176,1380,991
113.062897,34.8405331,1.0375,1012,1128,1304,985
113.0612331,34.84256661,0.9675,1059,1209,1377,992
113.062846,34.84066636,0.9025,1012,1125,1320,1053
113.0628424,34.84075688,0.96,1012,1125,1320,1053
113.0584097,34.8395738,0.9775,1027,1164,1338,1055
113.0628319,34.8407767,0.9625,1012,1125,1320,1053
113.0633008,34.84068308,0.99,1012,1141,1336,1073
113.0612343,34.8425609,0.975,1059,1209,1377,992
113.0629219,34.84078407,0.995,1012,1153,1325,1073
113.0584124,34.8395605,0.9875,1027,1164,1338,1055
113.0626223,34.84068668,0.955,1001,1133,1298,1057
113.0629949,34.84072811,0.9775,1012,1153,1325,1073
113.0584213,34.83950618,1.005,1027,1164,1338,1055
113.0583999,34.8398054,1,1038,1173,1349,1045
113.0626708,34.84066446,0.996666667,1001,1133,1298,1057
113.0582687,34.84042008,0.95,1020,1193,1348,1086
113.0698765,34.84636242,0.9375,1023,1141,1337,1082
113.0717256,34.84830206,1,1061,1166,1375,999
113.0633652,34.84077687,0.995,1012,1141,1336,1073
113.061252,34.84253191,0.9975,1059,1209,1377,992
113.0612362,34.84255505,0.98,1059,1209,1377,992
113.0671466,34.84443704,1.0175,1044,1169,1357,994
113.0635047,34.83904227,1.106666667,890,1022,950,1957
113.0633181,34.84066544,1.045,1012,1141,1336,1073
113.0633317,34.84065708,1.055,1012,1141,1336,1073
113.0584035,34.83981967,1.015,1038,1173,1349,1045
113.062899,34.84081277,1.1075,1000,1141,1325,1089
113.0584661,34.84011677,0.9875,1032,1164,1346,1059
113.0584248,34.83947958,1.0425,1027,1164,1338,1055
113.062892,34.84053626,1.0175,1012,1128,1304,985
113.0584846,34.84006355,1.025,1032,1164,1346,1059
113.0584867,34.83988728,1.03,1038,1173,1349,1045
113.0628102,34.8405723,1.035,1007,1125,1291,969
113.0584156,34.83984884,1.045,1038,1173,1349,1045
113.0633225,34.84055372,1.0425,1012,1149,1330,1055
113.0627281,34.84060218,1.0125,1007,1125,1291,969
113.0626416,34.84071786,1.0225,1001,1133,1298,1057
113.0584514,34.83991477,1.0475,1038,1173,1349,1045
113.0632743,34.84075535,1.02,1012,1141,1336,1073
113.0728328,34.84894197,1.0475,1033,1182,1371,1031
113.0671211,34.84443822,1.0775,1044,1169,1357,994
113.0635147,34.84044727,1.0725,1040,1136,1340,1031
113.0584268,34.83987973,1.0575,1038,1173,1349,1045
113.0583868,34.83990401,1.08,1038,1173,1349,1045
113.0626119,34.84061531,1.0975,985,1112,1240,955
113.0576078,34.82925218,0.905,1090,1335,1552,1903
113.0628956,34.8409813,0.995,1017,1136,1322,1103
113.0584567,34.83996753,1.09,1032,1164,1346,1059
113.0627846,34.84051401,1.115,1007,1125,1291,969
113.0749076,34.83832481,1.0575,1022,1154,1358,1110
113.0598259,34.84079088,1.06,1050,1207,1383,979
113.0585863,34.83976969,1.0925,1049,1169,1353,1036
113.0629319,34.84045714,1.1775,1018,1141,1272,924
113.0634922,34.839043,1.2075,890,1022,950,1957
113.0627827,34.84050895,1.1025,1007,1125,1291,969
113.0627387,34.84074398,1.105,1012,1125,1320,1053
113.0749153,34.83831209,1.0525,1022,1154,1358,1110
113.0636381,34.84036795,1.065,1023,1153,1337,1050
113.0716925,34.84832307,1.1075,1061,1166,1375,999
113.0627482,34.84074897,1.1025,1012,1125,1320,1053
113.0598434,34.84094373,1.2325,1050,1174,1368,993
113.062868,34.84091958,1.0725,1000,1141,1325,1089
113.0636116,34.84038602,1.0575,1023,1153,1337,1050
113.0626591,34.84068392,1.1325,1001,1133,1298,1057
113.0728166,34.84894739,1.1425,1033,1182,1371,1031
113.0584006,34.83991822,1.1125,1038,1173,1349,1045
113.0628314,34.84081944,1.0525,1000,1141,1325,1089
113.0620537,34.8430651,1.1475,1044,1198,1360,997
113.0730418,34.84880794,1.125,1055,1165,1371,1035
113.063199,34.84093814,1.1975,1017,1124,1322,1092
113.0749325,34.83828646,1.15,1005,1150,1343,1054
113.0627812,34.84052698,1.16,1007,1125,1291,969
113.0619141,34.84344753,1.1675,1054,1239,1387,903
113.0625555,34.84067564,1.16,1001,1133,1298,1057
113.0620567,34.84306247,1.2,1044,1198,1360,997
113.0625628,34.84062078,1.17,985,1112,1240,955
113.0629349,34.84043999,1.19,1018,1141,1272,924
113.0642945,34.84592597,1.1775,1080,1199,1442,1042
113.0642911,34.84592065,1.1925,1080,1199,1442,1042
113.0695018,34.84551393,1.29,1034,1158,1355,1050
113.0633468,34.84065666,1.1825,1012,1141,1336,1073
113.0598465,34.84094767,1.2825,1050,1174,1368,993
113.0631737,34.84096368,1.125,1017,1124,1322,1092
113.063467,34.83904081,1.303333333,890,1022,950,1957
113.0707116,34.83797208,1.1975,1013,1175,1331,1299
113.0632208,34.84090765,1.155,1006,1141,1336,1073
113.0601285,34.84117717,1.27,1021,1169,1349,1022
113.0624939,34.84066004,1.3,1012,1125,1294,1057
113.0594694,34.84036432,1.195,1050,1182,1368,1002
113.0628556,34.84086629,1.2325,1000,1141,1325,1089
113.0707139,34.83804189,1.2625,1013,1175,1331,1299
113.0625303,34.84064472,1.285,1012,1125,1294,1057
113.0619051,34.84346769,1.22,1054,1239,1387,903
113.0598295,34.84089872,1.2525,1050,1174,1368,993
113.0624873,34.8407211,1.25,1012,1125,1294,1057
113.0624518,34.84076713,1.375,1012,1125,1294,1057
113.0629009,34.84099478,1.136666667,1017,1136,1322,1103
113.0629442,34.84040103,1.2275,1018,1141,1272,924
113.0599044,34.84100112,1.2375,1044,1148,1346,1039
113.0635887,34.83972656,1.285,984,1111,1189,873
113.062246,34.84049643,1.2225,985,1104,1233,950
113.0635857,34.83973112,1.3075,984,1111,1189,873
113.059634,34.84078856,1.0875,1044,1195,1368,1007
113.0625249,34.84065356,1.3125,1012,1125,1294,1057
113.0626542,34.8407042,1.2275,1001,1133,1298,1057
113.0695233,34.84547189,1.24,1040,1175,1358,998
113.0624821,34.84067448,1.215,1012,1125,1294,1057
113.0598376,34.84088673,1.2725,1050,1174,1368,993
113.0598449,34.84087803,1.29,1050,1174,1368,993
113.0613056,34.84247889,1.2875,1059,1209,1377,992
113.0633592,34.84068962,1.2725,1012,1141,1336,1073
113.0739149,34.83843935,1.2325,1016,1166,1332,1062
113.0635382,34.84043314,1.2775,1040,1136,1340,1031
113.0601785,34.8412003,1.36,1021,1169,1349,1022
113.0623761,34.8406187,1.3825,985,1104,1233,950
113.0623353,34.84067667,1.3475,1012,1150,1291,1057
113.0598558,34.8409637,1.3075,1050,1174,1368,993
113.0598534,34.84095986,1.3225,1050,1174,1368,993
113.0629497,34.84038133,1.255,1018,1141,1272,924
113.0620633,34.84305504,1.3125,1044,1198,1360,997
113.0627935,34.84019894,1.3075,985,1099,1132,805
113.0651604,34.84738521,1.305,1213,1410,1707,1374
113.0651823,34.84733567,1.3175,1108,1280,1462,1071
113.0651556,34.84740165,1.325,1213,1410,1707,1374
113.0629865,34.83987909,1.325,901,1015,1008,723
113.06435,34.84210386,1.4225,1017,1136,1332,1071
113.0643644,34.84210203,1.3325,1017,1136,1332,1071
113.0664657,34.84404142,1.325,1039,1178,1357,1022
113.0623454,34.84063765,1.415,1012,1150,1291,1057
113.0637575,34.8395848,1.336666667,962,1082,1152,882
113.062446,34.84063437,1.2625,1012,1125,1294,1057
113.0601267,34.84116556,1.25,1021,1169,1349,1022
113.0619417,34.84339703,1.3,1054,1239,1387,903
113.0739105,34.83843909,1.27,1016,1166,1332,1062
113.0629585,34.83990035,1.3325,901,1015,1008,723
113.0629141,34.83993169,1.3475,901,1015,1008,723
113.0621541,34.8405201,1.365,979,1099,1215,973
113.0638031,34.84523275,1.35,1048,1202,1388,1010
113.0634148,34.83900871,1.236666667,890,1022,950,1957
113.0627231,34.84427611,1.28,1052,1198,1384,977
113.061649,34.83918954,1.5225,957,1129,1212,1480
113.0738616,34.83838699,1.3725,1016,1166,1332,1062
113.0631399,34.84461454,1.3725,1069,1203,1402,1019
113.0636719,34.83963876,1.3375,984,1111,1189,873
113.0627452,34.84036303,1.3625,1012,1116,1219,880
113.0628725,34.84084175,1.3975,1000,1141,1325,1089
113.0629973,34.8399502,1.395,901,1015,1008,723
113.0584434,34.83999773,1.6825,1032,1164,1346,1059
113.0629625,34.84427971,1.3575,1041,1169,1359,1001
113.0598583,34.84085366,1.39,1050,1174,1368,993
113.0633576,34.83894578,1.435,867,959,885,1598
113.0679452,34.84488786,1.46,1039,1149,1343,1052
113.0670816,34.84445472,1.33,1044,1169,1357,994
113.0624996,34.84069799,1.395,1012,1125,1294,1057
113.0628019,34.84017944,1.3725,985,1099,1132,805
113.0598612,34.84084707,1.38,1050,1174,1368,993
113.0695195,34.84547923,1.285,1040,1175,1358,998
113.0621598,34.84051457,1.375,979,1099,1215,973
113.0623763,34.84378436,1.3825,1054,1193,1369,963
113.0656305,34.84780367,1.4025,1136,1288,1494,1080
113.0637072,34.83962125,1.4175,917,1011,1044,793
113.0598627,34.84084337,1.395,1050,1174,1368,993
113.0693881,34.84567587,1.5225,1040,1141,1344,1082
113.0623759,34.84377395,1.39,1054,1193,1369,963
113.0621408,34.84053127,1.385,979,1099,1215,973
113.0623752,34.8437683,1.3875,1054,1193,1369,963
113.0623493,34.84373261,1.4075,1048,1230,1384,935
113.063137,34.84464359,1.3925,1069,1203,1402,1019
113.0638133,34.84523127,1.395,1048,1202,1388,1010
113.0602179,34.84118209,1.4275,1044,1194,1371,984
113.0586292,34.83978278,1.3425,1049,1169,1353,1036
113.0692162,34.84693643,1.3475,1049,1177,1373,992
113.0623761,34.84377639,1.39,1054,1193,1369,963
113.0596318,34.84073974,1.3775,1044,1195,1368,1007
113.062709,34.84034903,1.4275,1012,1116,1219,880
113.0679604,34.84488513,1.4625,1039,1149,1343,1052
113.0656226,34.84794309,1.4375,1141,1301,1530,1113
113.0623361,34.84371413,1.3975,1048,1230,1384,935
113.0714905,34.84844342,1.4175,1044,1211,1370,954
113.0707205,34.83807354,1.4075,1013,1175,1331,1299
113.0656301,34.84782611,1.415,1136,1288,1494,1080
113.0601392,34.841224,1.4375,1021,1169,1349,1022
113.0656297,34.84785874,1.4225,1141,1301,1530,1113
113.0656294,34.84776617,1.425,1136,1288,1494,1080
113.0688605,34.84616578,1.405,1033,1174,1364,1030
113.0689309,34.84609081,1.415,1039,1149,1342,1063
113.0623706,34.84375583,1.4125,1054,1193,1369,963
113.0621635,34.84048141,1.4625,979,1099,1215,973
113.0656298,34.84784359,1.4375,1141,1301,1530,1113
113.0632753,34.83995309,1.4325,990,1136,1192,845
113.0749688,34.83821925,1.4125,1005,1150,1343,1054
113.0679357,34.8448957,1.5275,1039,1149,1343,1052
113.0633937,34.83992121,1.44,1001,1136,1264,901
113.0602244,34.84118017,1.455,1044,1194,1371,984
113.0692386,34.84691969,1.3975,1049,1177,1373,992
113.0623414,34.84372411,1.4025,1048,1230,1384,935
113.0631563,34.84470391,1.41,1057,1203,1424,1043
113.0623697,34.84384155,1.435,1071,1210,1380,949
113.0598647,34.84083972,1.42,1050,1174,1368,993
113.0621639,34.8404832,1.46,979,1099,1215,973
113.0632553,34.83996982,1.4475,1001,1157,1272,891
113.0707337,34.83814444,1.64,1013,1154,1306,1015
113.0625749,34.84056722,1.365,985,1112,1240,955
113.072079,34.85021881,1.4125,1053,1188,1371,1029
113.0623764,34.84380061,1.415,1054,1193,1369,963
113.0623739,34.84382707,1.4425,1065,1197,1373,959
113.0626737,34.84009225,1.435,918,1024,1027,740
113.0749881,34.83817799,1.4925,1005,1150,1343,1054
113.0627799,34.84424495,1.3875,1052,1198,1384,977
113.0648394,34.84261135,1.5425,1017,1166,1336,1061
113.0598292,34.84080832,1.4525,1050,1174,1368,993
113.0691807,34.8457958,1.4525,1033,1140,1331,1063
113.0620693,34.84303911,1.4375,1044,1198,1360,997
113.0718055,34.83778318,1.45,1090,1242,1442,1604
113.0623317,34.84387203,1.4825,1071,1210,1380,949
113.059863,34.84082242,1.4875,1050,1174,1368,993
113.0725937,34.84880423,1.456666667,1055,1178,1371,1021
113.0631449,34.84468316,1.41,1057,1203,1424,1043
113.0620657,34.84303239,1.415,1044,1198,1360,997
113.0689155,34.84611249,1.435,1039,1149,1342,1063
113.0695615,34.84538542,1.35,1040,1175,1358,998
113.0631367,34.8398439,1.475,956,1078,1106,765
113.0656247,34.84772363,1.485,1136,1288,1494,1080
113.0600228,34.84103501,1.45,1044,1148,1346,1039
113.0656361,34.84800292,1.4825,1141,1301,1530,1113
113.0749864,34.8381823,1.4925,1005,1150,1343,1054
113.064306,34.84584833,1.4725,1080,1199,1442,1042
113.0690678,34.84709914,1.4975,1049,1181,1380,983
113.062061,34.84302552,1.4325,1044,1198,1360,997
113.06,34.84102844,1.4525,1044,1148,1346,1039
113.0717781,34.83765655,1.52,1090,1242,1442,1604
113.0630327,34.84018519,1.51,1001,1128,1218,845
113.0720054,34.85030608,1.625,1053,1188,1371,1029
113.0693,34.84687214,1.495,1049,1177,1373,992
113.0598469,34.84081851,1.47,1050,1174,1368,993
113.0662832,34.84415646,1.4975,1033,1165,1360,1004
113.0717793,34.83766193,1.4775,1090,1242,1442,1604
113.073253,34.83773705,1.525,1029,1166,1363,1123
113.0631422,34.83974628,1.5,917,998,975,714
113.0631645,34.83972695,1.5275,917,998,975,714
113.0685324,34.84643574,1.4875,1050,1165,1389,997
113.0717773,34.83765112,1.5275,1090,1242,1442,1604
113.0623228,34.84367806,1.445,1048,1230,1384,935
113.0626255,34.8437371,1.3975,1043,1168,1358,1001
113.0643095,34.84583292,1.49,1080,1199,1442,1042
113.0634713,34.83990549,1.51,1001,1136,1264,901
113.0628418,34.84011491,1.5025,918,1024,1027,740
113.0634952,34.83983412,1.51,1001,1136,1264,901
113.06285,34.84010158,1.5075,918,1024,1027,740
113.0603262,34.84126834,1.5375,1044,1194,1371,984
113.0693793,34.8468002,1.5275,1043,1143,1359,1044
113.0725145,34.83775429,1.5725,1046,1196,1392,1277
113.0634985,34.83982765,1.55,1001,1136,1264,901
113.0633647,34.83963542,1.625,934,1027,1059,765
113.0627318,34.84095997,1.4525,1000,1141,1325,1089
113.0631548,34.84006566,1.52,990,1115,1214,831
113.063167,34.83981766,1.5425,956,1078,1106,765
113.0630428,34.84003235,1.5475,990,1115,1214,831
113.0648733,34.8425917,1.9,1017,1166,1336,1061
113.0680751,34.84492017,1.613333333,1028,1149,1347,1048
113.0732535,34.83776351,1.53,1029,1166,1363,1123
113.0680707,34.84491722,1.5675,1028,1149,1347,1048
113.058738,34.83964719,1.545,1044,1185,1353,1031
113.0635003,34.83982451,1.5175,1001,1136,1264,901
113.0630297,34.84004867,1.52,962,1086,1124,793
113.0598225,34.84079044,1.49,1050,1207,1383,979
113.0693393,34.8468389,1.5325,1049,1177,1373,992
113.0718099,34.83786382,1.5725,1001,1158,1327,1054
113.0725185,34.8376996,1.5625,1046,1196,1392,1277
113.0663629,34.84412509,1.555,1033,1173,1360,1013
113.0631822,34.83971239,1.5675,917,998,975,714
113.0690768,34.845914,1.54,1033,1140,1324,1086
113.0727632,34.8489638,1.72,1033,1182,1371,1031
113.0631236,34.84009072,1.58,990,1115,1214,831
113.067991,34.84488748,1.655,1039,1149,1343,1052
113.0680022,34.84489031,1.6925,1039,1149,1343,1052
113.0697724,34.84639492,1.9725,1023,1141,1337,1082
113.0690509,34.84594875,1.5625,1022,1149,1328,1063
113.0623768,34.84029202,1.575,912,1015,1016,749
113.0634534,34.83903845,1.7,890,1022,950,1957
113.0627419,34.84090061,1.52,1000,1141,1325,1089
113.066182,34.84420161,1.5875,1039,1165,1371,1036
113.0601559,34.84107989,1.5775,1039,1182,1361,1002
113.0632876,34.83971718,1.6225,934,1027,1059,765
113.0701972,34.83815966,1.66,1113,1318,1504,1420
113.0587426,34.83964406,1.5725,1044,1185,1353,1031
113.0661739,34.84842251,1.5975,1105,1272,1471,1006
113.0602472,34.84117665,1.585,1044,1194,1371,984
113.0600868,34.84105314,1.5825,1039,1182,1361,1002
113.0632666,34.83977011,1.6575,934,1027,1059,765
113.0634808,34.83954903,1.6,884,998,972,737
113.0633303,34.83975326,1.5625,934,1027,1059,765
113.0649709,34.83930429,1.6075,1032,1158,1336,1136
113.0738774,34.838266,1.625,1005,1158,1325,1025
113.0680135,34.84489378,1.6725,1039,1149,1343,1052
113.0602169,34.84111641,1.61,1056,1199,1368,979
113.0600698,34.84091648,1.66,1061,1199,1365,993
113.0632245,34.83974657,1.645,934,1027,1059,765
113.0601213,34.84102648,1.6075,1039,1182,1361,1002
113.0633305,34.83965846,1.685,934,1027,1059,765
113.0662106,34.84840465,1.6675,1105,1272,1471,1006
113.0598915,34.84077773,1.625,1039,1190,1372,993
113.0679002,34.84496073,1.61,1039,1149,1343,1052
113.0631561,34.84454593,1.5475,1069,1203,1402,1019
113.0704562,34.84928656,1.6425,1054,1177,1376,1018
113.0600743,34.84092748,1.6525,1061,1199,1365,993
113.068021,34.84489639,1.6825,1039,1149,1343,1052
113.0732493,34.83767496,1.7125,1029,1166,1363,1123
113.0635273,34.83953838,1.67,884,998,972,737
113.0713808,34.84852378,1.67,1087,1214,1394,920
113.0725027,34.83795229,1.7225,1007,1137,1330,1040
113.0719599,34.84997896,1.645,1060,1198,1377,991
113.0634504,34.83903786,2.035,890,1022,950,1957
113.0704837,34.84926931,1.6375,1054,1177,1376,1018
113.0717759,34.83759976,1.66,1152,1351,1543,2098
113.0649936,34.83932643,1.6575,1032,1158,1336,1136
113.0602521,34.84115439,1.7,1044,1194,1371,984
113.0719722,34.85035084,1.7575,1053,1188,1371,1029
113.0628784,34.84416569,1.6375,1041,1169,1359,1001
113.0636984,34.84032831,1.65,1023,1153,1337,1050
113.0622377,34.84040135,1.6125,951,1041,1103,815
113.0718276,34.837981,1.6975,1012,1162,1323,1007
113.0717699,34.83760872,1.685,1152,1351,1543,2098
113.0628865,34.84086829,1.595,1000,1141,1325,1089
113.0643111,34.84581239,1.6,1075,1229,1417,1065
113.0680632,34.84491226,1.605,1039,1149,1343,1052
113.070616,34.8476185,1.6525,1044,1161,1381,1038
113.0633684,34.83959909,1.6525,856,981,921,709
113.0613495,34.84243138,1.6875,1059,1179,1369,1025
113.0681609,34.84496978,1.9275,1028,1149,1347,1048
113.0587577,34.83969098,1.665,1044,1185,1353,1031
113.0727123,34.84897922,1.6825,1055,1170,1367,1031
113.0700168,34.84821261,1.7075,1060,1207,1392,968
113.0647111,34.83881859,1.87,991,1176,1208,1882
113.0725099,34.83808486,1.7375,990,1145,1327,1021
113.063159,34.84453937,1.6075,1069,1203,1402,1019
113.0732518,34.83791937,1.6925,1013,1154,1338,1039
113.0632459,34.83956762,1.6825,856,981,921,709
113.0600606,34.8408942,1.725,1061,1199,1365,993
113.0632761,34.83955856,1.705,856,981,921,709
113.0576249,34.82923492,1.4325,1118,1377,1614,1935
113.0649474,34.83927116,1.655,1018,1146,1335,1145
113.0596463,34.84066715,1.6575,1044,1195,1368,1007
113.0732807,34.83841717,1.67,1032,1170,1340,1151
113.063949,34.84172874,1.8775,1028,1170,1350,1080
113.0679271,34.84492481,1.7475,1039,1149,1343,1052
113.0630118,34.83963816,1.725,917,998,975,714
113.0732531,34.8379441,1.7825,1013,1154,1338,1039
113.0679192,34.84493771,1.6925,1039,1149,1343,1052
113.06624,34.84839403,1.76,1094,1251,1417,982
113.0681054,34.84494027,1.695,1028,1149,1347,1048
113.0655925,34.84757432,1.7025,1086,1196,1419,1034
113.0725065,34.83802051,1.725,990,1145,1327,1021
113.059526,34.84030487,1.7325,1044,1178,1375,988
113.0629208,34.84100613,1.705,1017,1136,1322,1103
