经度,纬度,水深
113.0640791,34.84001003,-0.53
113.0620755,34.84313726,-0.613333333
113.0640415,34.84005539,-0.633333333
113.0601262,34.84125112,-0.696666667
113.0601273,34.84124981,-0.74
113.0605546,34.84145114,-1.066666667
113.0609067,34.84181671,-0.883333333
113.0604976,34.84143208,-0.933333333
113.0601285,34.84124827,-0.79
113.0628486,34.84087343,-1.02
113.0636011,34.84039295,-1.05
113.0664792,34.84398283,-1.06
113.0664779,34.84399055,-1.143333333
113.0626376,34.84072801,-1.19
113.0664769,34.84399635,-1.21
113.0625707,34.84061985,-1.186666667
113.0626337,34.84074832,-1.263333333
113.0624234,34.84062774,-1.326666667
113.0720531,34.85011646,-1.376666667
113.0692197,34.84576764,-1.363333333
113.0626986,34.84414408,-1.343333333
113.0621859,34.84048621,-1.363333333
113.0626547,34.84069177,-1.203333333
113.0626719,34.84040483,-1.396666667
113.0584346,34.83939459,-1.4
113.0621634,34.84048023,-1.46
113.0720525,34.85015979,-1.513333333
113.0624387,34.84062715,-1.366666667
113.0725876,34.84881542,-1.496666667
113.0627384,34.84093077,-1.743333333
113.0652534,34.84304637,-1.746666667
113.0738786,34.83823019,-1.673333333
113.0629194,34.84105575,-1.756666667
113.0719653,34.85000463,-1.753333333
113.0629446,34.84120572,-1.913333333
113.0652215,34.8430601,-2.02
113.0652268,34.84305771,-1.973333333
113.0661135,34.84424699,-2.006666667
113.0725184,34.83819849,-1.91
113.0713074,34.84859554,-2.056666667
113.0633624,34.84151529,-2.036666667
113.0695064,34.84665191,-2.113333333
113.0584646,34.83994536,-1.64
113.0598234,34.8405818,-2.07
113.0716616,34.85061223,-2.16
113.0651159,34.84300199,-2.053333333
113.0623445,34.84085154,-2.07
113.0686763,34.84619433,-2.116666667
113.0674504,34.84534389,-2.133333333
113.069338,34.84570911,-2.72
113.0691178,34.84759367,-2.216666667
113.0638013,34.84180496,-2.266666667
113.0713856,34.85082758,-2.096666667
113.0717331,34.85053681,-2.126666667
113.071262,34.8486659,-2.45
113.0653804,34.84358227,-2.556666667
113.064821,34.83906863,-2.293333333
113.0653752,34.84359557,-2.63
113.0707749,34.83832736,-2.516666667
113.0599179,34.84052741,-2.633333333
113.0632173,34.83914154,-2.7
113.0632173,34.83914154,-2.7
113.0672072,34.8460871,-3.253333333
113.0637785,34.83934158,-3.096666667
113.0637796,34.83933903,-3.24
113.06378,34.83934587,-2.97
113.0637826,34.8393425,-3.153333333
113.063779,34.83934671,-2.983333333
113.0637821,34.83934319,-3.116666667
113.0642728,34.8452955,-3.67
113.0667512,34.84780894,-3.723333333
113.0674925,34.84840907,-3.726666667
113.0612672,34.84188193,-3.733333333
113.0649651,34.84527567,-4.143333333
113.0611594,34.84005673,-6.72
113.0620095,34.84314289,-0.24
113.06201,34.84314324,-0.2475
113.0620105,34.84314392,-0.2575
113.0620148,34.84314694,-0.26
113.0620065,34.84314043,-0.26
113.0620132,34.84314694,-0.2625
113.0620061,34.84313991,-0.2625
113.0620109,34.84314493,-0.265
113.0620082,34.8431421,-0.26
113.0620073,34.8431413,-0.26
113.0620089,34.84314255,-0.26
113.0620052,34.84313879,-0.265
113.0620114,34.84314686,-0.2725
113.0620108,34.84314429,-0.275
113.0620115,34.84314613,-0.2775
113.0620163,34.84314695,-0.265
113.0620116,34.84314736,-0.2725
113.0620112,34.84314563,-0.2775
113.0620317,34.84314524,-0.27
113.0620116,34.84314675,-0.2825
113.0620116,34.84314647,-0.2825
113.0620122,34.84314725,-0.2875
113.0620368,34.84314413,-0.325
113.0601517,34.84133974,-0.4175
113.0601483,34.84133876,-0.4175
113.060142,34.84133532,-0.425
113.0601402,34.8413341,-0.43
113.060154,34.84134019,-0.4225
113.0601464,34.84133773,-0.425
113.0601444,34.84133663,-0.425
113.0601331,34.84132659,-0.435
113.0601384,34.8413327,-0.4275
113.0601668,34.841341,-0.44
113.0601577,34.84134051,-0.4225
113.0601351,34.84132911,-0.425
113.0601609,34.84134063,-0.43
113.0601321,34.84132508,-0.4375
113.0601367,34.84133089,-0.435
113.0601308,34.84132256,-0.44
113.0601644,34.84134083,-0.435
113.0601298,34.84131913,-0.4525
113.0620452,34.84314213,-0.47
113.0603694,34.84154563,-0.46
113.0603303,34.84157475,-0.46
113.0603371,34.84156661,-0.4725
113.0603544,34.84155614,-0.4725
113.0603655,34.84154814,-0.475
113.0603617,34.8415507,-0.475
113.0603828,34.84153766,-0.48
113.0603726,34.8415437,-0.47
113.0603321,34.84157113,-0.4725
113.060351,34.84155899,-0.4725
113.0603476,34.84156142,-0.475
113.060129,34.84131539,-0.475
113.0603296,34.84157685,-0.4775
113.0603875,34.84153501,-0.47
113.0603432,34.84156347,-0.4725
113.0603412,34.84156435,-0.475
113.0603355,34.84156782,-0.48
113.060358,34.84155335,-0.4675
113.0603793,34.84153971,-0.4775
113.0603388,34.84156554,-0.4825
113.0604066,34.84152496,-0.485
113.0601287,34.84131122,-0.475
113.0603339,34.84156916,-0.475
113.060329,34.84157985,-0.48
113.0603948,34.84153114,-0.48
113.060418,34.8415749,-0.4875
113.0603311,34.84157285,-0.4825
113.0604254,34.84156384,-0.4875
113.0605116,34.84147971,-0.4875
113.0604204,34.84156855,-0.485
113.060445,34.84155036,-0.4875
113.0604125,34.84152195,-0.4975
113.0604188,34.84157981,-0.485
113.0601288,34.8413069,-0.4875
